tau,scenario,regime,episode,policy,J,E,lam2,lcc,reconf_per_100s
3,uniform,pedestrian,0,none,0.36790420003973645,28.38,0.6072548224667973,1.0,0.0
3,uniform,pedestrian,0,static,1.0215435217028936,68.03666666666666,1.9955209974062191,1.0,0.0
3,uniform,pedestrian,0,random,0.7561155814606608,58.23,1.2508013472692994,1.0,132.66666666666666
3,uniform,pedestrian,0,reactive,1.0215435217028936,68.03666666666666,1.9955209974062191,1.0,0.0
3,uniform,pedestrian,0,cv,1.0215435217028936,68.03666666666666,1.9955209974062191,1.0,0.0
3,uniform,pedestrian,0,oracle,1.0215435217028936,68.03666666666666,1.9955209974062191,1.0,0.0
3,uniform,pedestrian,0,learned GAT-LSTM,1.0215435217028936,68.03666666666666,1.9955209974062191,1.0,0.0
3,uniform,pedestrian,0,learned LSTM (no graph attention),1.0215435217028936,68.03666666666666,1.9955209974062191,1.0,0.0
3,uniform,pedestrian,1,none,0.38768181662252243,29.753333333333334,0.6442766028777309,1.0,0.0
3,uniform,pedestrian,1,static,1.0133531019829698,68.31333333333333,1.955892426401213,1.0,0.0
3,uniform,pedestrian,1,random,0.7487631493010887,59.14333333333333,1.196115870374397,1.0,130.0
3,uniform,pedestrian,1,reactive,1.0133531019829698,68.31333333333333,1.955892426401213,1.0,0.0
3,uniform,pedestrian,1,cv,1.0133531019829698,68.31333333333333,1.955892426401213,1.0,0.0
3,uniform,pedestrian,1,oracle,1.0133531019829698,68.31333333333333,1.955892426401213,1.0,0.0
3,uniform,pedestrian,1,learned GAT-LSTM,1.0133531019829698,68.31333333333333,1.955892426401213,1.0,0.0
3,uniform,pedestrian,1,learned LSTM (no graph attention),1.0133531019829698,68.31333333333333,1.955892426401213,1.0,0.0
3,uniform,pedestrian,2,none,0.33235865946783866,26.643333333333334,0.519691534960661,1.0,0.0
3,uniform,pedestrian,2,static,0.9505037324594732,65.08,1.8057437229398234,1.0,0.0
3,uniform,pedestrian,2,random,0.6839434507083801,55.5,1.0501302146908122,1.0,129.0
3,uniform,pedestrian,2,reactive,0.9505037324594732,65.08,1.8057437229398234,1.0,0.0
3,uniform,pedestrian,2,cv,0.9505037324594732,65.08,1.8057437229398234,1.0,0.0
3,uniform,pedestrian,2,oracle,0.9505037324594732,65.08,1.8057437229398234,1.0,0.0
3,uniform,pedestrian,2,learned GAT-LSTM,0.9505037324594732,65.08,1.8057437229398234,1.0,0.0
3,uniform,pedestrian,2,learned LSTM (no graph attention),0.9505037324594732,65.08,1.8057437229398234,1.0,0.0
3,uniform,pedestrian,3,none,0.36443329521855233,28.406666666666666,0.5930644049668662,1.0,0.0
3,uniform,pedestrian,3,static,1.0132565866718253,67.68,1.9737212375157995,1.0,0.0
3,uniform,pedestrian,3,random,0.7505805469186588,58.01,1.235716971952811,1.0,131.33333333333331
3,uniform,pedestrian,3,reactive,1.0132565866718253,67.68,1.9737212375157995,1.0,0.0
3,uniform,pedestrian,3,cv,1.0132565866718253,67.68,1.9737212375157995,1.0,0.0
3,uniform,pedestrian,3,oracle,1.0132565866718253,67.68,1.9737212375157995,1.0,0.0
3,uniform,pedestrian,3,learned GAT-LSTM,1.0132565866718253,67.68,1.9737212375157995,1.0,0.0
3,uniform,pedestrian,3,learned LSTM (no graph attention),1.0132565866718253,67.68,1.9737212375157995,1.0,0.0
3,uniform,pedestrian,4,none,0.3783930704109879,28.923333333333332,0.6322059236172328,1.0,0.0
3,uniform,pedestrian,4,static,1.0147689374804243,68.07333333333334,1.9682659230767399,1.0,0.0
3,uniform,pedestrian,4,random,0.7533622621431468,58.43666666666667,1.2342130253178052,1.0,131.0
3,uniform,pedestrian,4,reactive,1.0147689374804243,68.07333333333334,1.9682659230767399,1.0,0.0
3,uniform,pedestrian,4,cv,1.0147689374804243,68.07333333333334,1.9682659230767399,1.0,0.0
3,uniform,pedestrian,4,oracle,1.0147689374804243,68.07333333333334,1.9682659230767399,1.0,0.0
3,uniform,pedestrian,4,learned GAT-LSTM,1.0147689374804243,68.07333333333334,1.9682659230767399,1.0,0.0
3,uniform,pedestrian,4,learned LSTM (no graph attention),1.0147689374804243,68.07333333333334,1.9682659230767399,1.0,0.0
3,uniform,pedestrian,5,none,0.35972013621967297,28.276666666666667,0.5785720887078745,1.0,0.0
3,uniform,pedestrian,5,static,0.9605264742939675,66.18666666666667,1.8127017511916756,1.0,0.0
3,uniform,pedestrian,5,random,0.6976143162580916,56.93,1.0619050183726157,1.0,128.0
3,uniform,pedestrian,5,reactive,0.9605264742939675,66.18666666666667,1.8127017511916756,1.0,0.0
3,uniform,pedestrian,5,cv,0.9605264742939675,66.18666666666667,1.8127017511916756,1.0,0.0
3,uniform,pedestrian,5,oracle,0.9605264742939675,66.18666666666667,1.8127017511916756,1.0,0.0
3,uniform,pedestrian,5,learned GAT-LSTM,0.9605264742939675,66.18666666666667,1.8127017511916756,1.0,0.0
3,uniform,pedestrian,5,learned LSTM (no graph attention),0.9605264742939675,66.18666666666667,1.8127017511916756,1.0,0.0
3,uniform,pedestrian,6,none,0.37323158038241094,29.003333333333334,0.6099442191961351,1.0,0.0
3,uniform,pedestrian,6,static,1.0636623150803453,69.96666666666667,2.1029504597551156,1.0,0.0
3,uniform,pedestrian,6,random,0.808923191912733,61.02,1.3748541752437073,1.0,125.33333333333334
3,uniform,pedestrian,6,reactive,1.0636623150803453,69.96666666666667,2.1029504597551156,1.0,0.0
3,uniform,pedestrian,6,cv,1.0636623150803453,69.96666666666667,2.1029504597551156,1.0,0.0
3,uniform,pedestrian,6,oracle,1.0636623150803453,69.96666666666667,2.1029504597551156,1.0,0.0
3,uniform,pedestrian,6,learned GAT-LSTM,1.0636623150803453,69.96666666666667,2.1029504597551156,1.0,0.0
3,uniform,pedestrian,6,learned LSTM (no graph attention),1.0636623150803453,69.96666666666667,2.1029504597551156,1.0,0.0
3,uniform,pedestrian,7,none,0.35300520712834044,27.83,0.5654388058733621,1.0,0.0
3,uniform,pedestrian,7,static,0.9726900557924723,66.18,1.8599370171793301,1.0,0.0
3,uniform,pedestrian,7,random,0.7079875899687861,57.013333333333335,1.0996295067161799,1.0,131.0
3,uniform,pedestrian,7,reactive,0.9726900557924723,66.18,1.8599370171793301,1.0,0.0
3,uniform,pedestrian,7,cv,0.9726900557924723,66.18,1.8599370171793301,1.0,0.0
3,uniform,pedestrian,7,oracle,0.9726900557924723,66.18,1.8599370171793301,1.0,0.0
3,uniform,pedestrian,7,learned GAT-LSTM,0.9726900557924723,66.18,1.8599370171793301,1.0,0.0
3,uniform,pedestrian,7,learned LSTM (no graph attention),0.9726900557924723,66.18,1.8599370171793301,1.0,0.0
3,uniform,pedestrian,8,none,0.39411264323746215,30.123333333333335,0.6585145068626936,1.0,0.0
3,uniform,pedestrian,8,static,1.0116168849422675,69.59666666666666,1.9122942756499048,1.0,0.0
3,uniform,pedestrian,8,random,0.7574324736176405,60.14666666666667,1.2008092586279941,1.0,128.0
3,uniform,pedestrian,8,reactive,1.0116168849422675,69.59666666666666,1.9122942756499048,1.0,0.0
3,uniform,pedestrian,8,cv,1.0116168849422675,69.59666666666666,1.9122942756499048,1.0,0.0
3,uniform,pedestrian,8,oracle,1.0116168849422675,69.59666666666666,1.9122942756499048,1.0,0.0
3,uniform,pedestrian,8,learned GAT-LSTM,1.0116168849422675,69.59666666666666,1.9122942756499048,1.0,0.0
3,uniform,pedestrian,8,learned LSTM (no graph attention),1.0116168849422675,69.59666666666666,1.9122942756499048,1.0,0.0
3,uniform,pedestrian,9,none,0.37054036136853585,28.843333333333334,0.6041341286780024,1.0,0.0
